iter	Passed	Remaining
0	1	126
1	2	115
2	3	109
3	4	102
4	5	100
5	6	97
6	7	96
7	8	96
8	9	95
9	10	94
10	11	93
11	12	92
12	13	90
13	14	89
14	15	88
15	16	87
16	17	87
17	19	86
18	20	85
19	21	84
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	32	73
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	55
47	49	54
48	50	53
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	40
61	63	39
62	64	38
63	65	37
64	66	36
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
